'id','name','brand_id'
(1,'124',1),
(2,'500',1),
(3,'595',1),
(4,'695',1),
(5,'GRANDE PUNTO',1),
(6,'PUNTO EVO',1),
(7,'INNY',1),
(8,'CL',2),
(9,'INTEGRA',2),
(10,'LEGEND',2),
(11,'MDX',2),
(12,'NSX',2),
(13,'RDX',2),
(14,'RL',2),
(15,'RSX',2),
(16,'TL',2),
(17,'TSX',2),
(18,'VIGOR',2),
(19,'ZDX',2),
(20,'INNY',2),
(21,'U5',3),
(22,'U6',3),
(23,'INNY',3),
(24,'A721',4),
(25,'A741',4),
(26,'A751',4),
(27,'CITY',4),
(28,'COUPE',4),
(29,'CROSSLINE',4),
(30,'CROSSOVER',4),
(31,'GTO',4),
(32,'ROADLINE',4),
(33,'SCOUTY',4),
(34,'SCOUTY R',4),
(35,'INNY',4),
(36,'4C',5),
(37,'33',5),
(38,'75',5),
(39,'90',5),
(40,'145',5),
(41,'146',5),
(42,'147',5),
(43,'155',5),
(44,'156',5),
(45,'159',5),
(46,'164',5),
(47,'166',5),
(48,'ALFASUD',5),
(49,'ALFETTA',5),
(50,'BRERA',5),
(51,'CROSSWAGON',5),
(52,'GIULIA',5),
(53,'GIULIETTA',5),
(54,'GT',5),
(55,'GTV',5),
(56,'MITO',5),
(57,'RS',5),
(58,'SPIDER',5),
(59,'SPORTWAGON',5),
(60,'SPRINT',5),
(61,'STELVIO',5),
(62,'TONALE',5),
(63,'INNY',5),
(64,'A110',6),
(65,'INNY',6),
(66,'ROCSTA',7),
(67,'INNY',7),
(68,'BULLDOG',8),
(69,'CYGNET',8),
(70,'DB',8),
(71,'DB1',8),
(72,'DB2',8),
(73,'DB4',8),
(74,'DB5',8),
(75,'DB6',8),
(76,'DB7',8),
(77,'DB9',8),
(78,'DB11',8),
(79,'DB MK III',8),
(80,'DBS',8),
(81,'DBS SUPERLEGGERA',8),
(82,'DBX',8),
(83,'DBX707',8),
(84,'LAGONDA',8),
(85,'ONE-77',8),
(86,'RAPIDE',8),
(87,'V8',8),
(88,'V8 VANTAGE',8),
(89,'V8 ZAGATO',8),
(90,'V12 VANQUISH',8),
(91,'V12 VANTAGE',8),
(92,'VANQUISH',8),
(93,'VANTAGE',8),
(94,'VIRAGE',8),
(95,'VOLATNE',8),
(96,'INNY',8),
(97,'80',9),
(98,'90',9),
(99,'100',9),
(100,'200',9),
(101,'A1',9),
(102,'A2',9),
(103,'A3',9),
(104,'A4',9),
(105,'A4 ALLROAD',9),
(106,'A5',9),
(107,'A6',9),
(108,'A6 ALLROAD',9),
(109,'A7',9),
(110,'A8',9),
(111,'CABRIOLET',9),
(112,'COUPE',9),
(113,'E-TRON',9),
(114,'E-TRON GT',9),
(115,'Q2',9),
(116,'Q3',9),
(117,'Q3 SPORTBACK',9),
(118,'Q4',9),
(119,'Q4 SPORTBACK',9),
(120,'Q5',9),
(121,'Q5 SPORTBACK',9),
(122,'Q7',9),
(123,'Q8',9),
(124,'QUATTRO',9),
(125,'R8',9),
(126,'RS2',9),
(127,'RS3',9),
(128,'RS4',9),
(129,'RS5',9),
(130,'RS6',9),
(131,'RS7',9),
(132,'RS E-TRON GT',9),
(133,'RS Q3',9),
(134,'RS Q8',9),
(135,'S1',9),
(136,'S2',9),
(137,'S3',9),
(138,'S4',9),
(139,'S5',9),
(140,'S6',9),
(141,'S7',9),
(142,'S8',9),
(143,'SQ2',9),
(144,'SQ5',9),
(145,'SQ7',9),
(146,'SQ8',9),
(147,'TT',9),
(148,'TT RS',9),
(149,'TT S',9),
(150,'V8',9),
(151,'INNY',9),
(152,'ALLEGRO',10),
(153,'AMBASADOR',10),
(154,'HEALEY',10),
(155,'MAXI',10),
(156,'METRO',10),
(157,'MINI',10),
(158,'MONTEGO',10),
(159,'INNY',10),
(160,'B40',11),
(161,'BJ20',11),
(162,'BJ40',11),
(163,'D20',11),
(164,'SENOVA X25',11),
(165,'SENOVA X35',11),
(166,'SENOVA X55',11),
(167,'SENOVA X65',11),
(168,'INNY',11),
(169,'ARNAGE',12),
(170,'AZURE',12),
(171,'BENTAYGA',12),
(172,'BROOKLANDS',12),
(173,'CONTINENTAL FLYING SPUR',12),
(174,'CONTINENTAL GT',12),
(175,'EIGHT',12),
(176,'MULSANNE',12),
(177,'TURBO R',12),
(178,'TURBO RT',12),
(179,'TURBO S',12),
(180,'INNY',12),
(181,'1M',13),
(182,'3GT',13),
(183,'5GT',13),
(184,'6GT',13),
(185,'I3',13),
(186,'I4',13),
(187,'I5',13),
(188,'I7',13),
(189,'I8',13),
(190,'IX',13),
(191,'IX1',13),
(192,'IX3',13),
(193,'M2',13),
(194,'M3',13),
(195,'M4',13),
(196,'M5',13),
(197,'M6',13),
(198,'M8',13),
(199,'SERIA 1',13),
(200,'SERIA 2',13),
(201,'SERIA 3',13),
(202,'SERIA 4',13),
(203,'SERIA 5',13),
(204,'SERIA 6',13),
(205,'SERIA 7',13),
(206,'SERIA 8',13),
(207,'X1',13),
(208,'X2',13),
(209,'X3',13),
(210,'X3 M',13),
(211,'X4',13),
(212,'X4 M',13),
(213,'X5',13),
(214,'X5 M',13),
(215,'X6',13),
(216,'X6M',13),
(217,'X7',13),
(218,'XM',13),
(219,'Z1',13),
(220,'Z3',13),
(221,'Z4',13),
(222,'Z4 M',13),
(223,'Z8',13),
(224,'INNY',13),
(225,'B3',14),
(226,'B4',14),
(227,'B5',14),
(228,'B6',14),
(229,'B7',14),
(230,'B8',14),
(231,'B10',14),
(232,'B12',14),
(233,'D3',14),
(234,'D4',14),
(235,'D5',14),
(236,'D10',14),
(237,'ROADSTER S',14),
(238,'XB7',14),
(239,'XD3',14),
(240,'XD4',14),
(241,'INNY',14),
(242,'CENTURION',15),
(243,'CENTURY',15),
(244,'ELECTRA',15),
(245,'ENCLAVE',15),
(246,'ENCORE',15),
(247,'LACROSSE',15),
(248,'LE SABRE',15),
(249,'LUCERNE',15),
(250,'PARK AVENUE',15),
(251,'REATTA',15),
(252,'REGAL',15),
(253,'RENDEZVOUS',15),
(254,'RIVIERA',15),
(255,'ROADMASTER',15),
(256,'SKYHAWK',15),
(257,'SKYLARK',15),
(258,'INNY',15),
(259,'ATTO 3',16),
(260,'DOLPHIN',16),
(261,'HAN',16),
(262,'QIN',16),
(263,'SEAGULL',16),
(264,'SEAL',16),
(265,'SONG',16),
(266,'TANG',16),
(267,'YUAN',16),
(268,'INNY',16),
(269,'ALLANTE',17),
(270,'ATS',17),
(271,'BLS',17),
(272,'BROUGHAM',17),
(273,'CATERA',17),
(274,'CIMARRON',17),
(275,'CT6',17),
(276,'CTS',17),
(277,'DEVILLE',17),
(278,'DTS',17),
(279,'ELDORADO',17),
(280,'ELR',17),
(281,'ESCALADE',17),
(282,'FLEETWOOD',17),
(283,'SEVILLE',17),
(284,'SLS',17),
(285,'SRX',17),
(286,'STS',17),
(287,'STS-V',17),
(288,'XLR',17),
(289,'XLR-V',17),
(290,'XT4',17),
(291,'XT5',17),
(292,'XT6',17),
(293,'XTS',17),
(294,'INNY',17),
(295,'KERRY',18),
(296,'M10',18),
(297,'M12',18),
(298,'M14',18),
(299,'M14 2.0',18),
(300,'PICKUP',18),
(301,'SULKY',18),
(302,'YDEA',18),
(303,'INNY',18),
(304,'AVANTIER',19),
(305,'INNY',19),
(306,'CH22 BAROODER',20),
(307,'CH26',20),
(308,'CH30',20),
(309,'CH32',20),
(310,'CH40',20),
(311,'CH46',20),
(312,'MEDIA',20),
(313,'SPEEDINO',20),
(314,'SPORTEEVO',20),
(315,'STELLA',20),
(316,'INNY',20),
(317,'1500',21),
(318,'2500',21),
(319,'3500',21),
(320,'ALERO',21),
(321,'APACHE',21),
(322,'ASTRO',21),
(323,'AVALANCHE',21),
(324,'AVEO',21),
(325,'BEL AIR',21),
(326,'BERETTA',21),
(327,'BLAZER',21),
(328,'BOLT',21),
(329,'C-10',21),
(330,'C-20',21),
(331,'C-30',21),
(332,'CAMARO',21),
(333,'CAPRICE',21),
(334,'CAPTIVA',21),
(335,'CAVALIER',21),
(336,'CELEBRITY',21),
(337,'CHEVELLE',21),
(338,'CHEVY VAN',21),
(339,'CITATION',21),
(340,'COBALT',21),
(341,'COLORADO',21),
(342,'CORSICA',21),
(343,'CORVETTE',21),
(344,'CRUZE',21),
(345,'EL CAMINO',21),
(346,'EPICA',21),
(347,'EQUINOX',21),
(348,'EVANDA',21),
(349,'EXPRESS',21),
(350,'G',21),
(351,'HHR',21),
(352,'IMPALA',21),
(353,'K30',21),
(354,'K1500',21),
(355,'KALOS',21),
(356,'LACETTI',21),
(357,'LUMINA',21),
(358,'MALIBU',21),
(359,'MATIZ',21),
(360,'MONTE CARLO',21),
(361,'MONZA',21),
(362,'NOVA',21),
(363,'NUBIRA',21),
(364,'ORLANDO',21),
(365,'REZZO',21),
(366,'S-10',21),
(367,'SILVERADO',21),
(368,'SPARK',21),
(369,'SPECTRUM',21),
(370,'SSR',21),
(371,'SUBURBAN',21),
(372,'TACUMA',21),
(373,'TAHOE',21),
(374,'TRAILBLAZER',21),
(375,'TRANS SPORT',21),
(376,'TRAVERSE',21),
(377,'TRAX',21),
(378,'VENTURE',21),
(379,'VOLT',21),
(380,'INNY',21),
(381,'200',22),
(382,'300',22),
(383,'300C',22),
(384,'300M',22),
(385,'300S',22),
(386,'ASPEN',22),
(387,'CARAVAN',22),
(388,'CONCORDE',22),
(389,'CROSSFIRE',22),
(390,'DAYTONA',22),
(391,'ES',22),
(392,'GRAND VOYAGER',22),
(393,'GS',22),
(394,'GTS',22),
(395,'LE BARON',22),
(396,'LHS',22),
(397,'NEON',22),
(398,'NEW YORKER',22),
(399,'PACIFICA',22),
(400,'PROWLER',22),
(401,'PT CRUISER',22),
(402,'SARATOGA',22),
(403,'SEBRING',22),
(404,'STRATUS',22),
(405,'TOWN &AMP; COUNTRY',22),
(406,'VALIANT',22),
(407,'VIPER',22),
(408,'VISION',22),
(409,'VOYAGER',22),
(410,'INNY',22),
(411,'ATECA',23),
(412,'BORN',23),
(413,'FORMENTOR',23),
(414,'LEON',23),
(415,'LEON SPORTSTOURER',23),
(416,'INNY',23),
(417,'1300',24),
(418,'1310',24),
(419,'1400',24),
(420,'1410',24),
(421,'DOKKER',24),
(422,'DOKKER VAN',24),
(423,'DUSTER',24),
(424,'JOGGER',24),
(425,'LODGY',24),
(426,'LOGAN',24),
(427,'LOGAN VAN',24),
(428,'NOVA',24),
(429,'PICK UP',24),
(430,'SANDERO',24),
(431,'SANDERO STEPWAY',24),
(432,'SOLENZA',24),
(433,'SPRING',24),
(434,'SUPER NOVA',24),
(435,'INNY',24),
(436,'CHAIRMAN',25),
(437,'CIELO',25),
(438,'ESPERO',25),
(439,'EVANDA',25),
(440,'KALOS',25),
(441,'KORANDO',25),
(442,'LACETTI',25),
(443,'LANOS',25),
(444,'LEGANZA',25),
(445,'MATIZ',25),
(446,'MUSSO',25),
(447,'NEXIA',25),
(448,'NUBIRA',25),
(449,'RACER',25),
(450,'REZZO',25),
(451,'TACUMA',25),
(452,'TICO',25),
(453,'INNY',25),
(454,'APPLAUSE',26),
(455,'CHARADE',26),
(456,'CHARMANT',26),
(457,'COPEN',26),
(458,'CUORE',26),
(459,'FEROZA',26),
(460,'FOURTRAK',26),
(461,'FREECLIMBER',26),
(462,'GRAN MOVE',26),
(463,'HIJET',26),
(464,'MATERIA',26),
(465,'MOVE',26),
(466,'ROCKY',26),
(467,'SIRION',26),
(468,'SPORTRAK',26),
(469,'TERIOS',26),
(470,'TREVIS',26),
(471,'YRV',26),
(472,'INNY',26),
(473,'DMC-12',27),
(474,'INNY',27),
