"id","status","brand_id","city_id","model_id","name","main_photo_url","create_date","last_modified","last_modified_by","engine_capacity","engine_horse_power","first_registration_date","mileage","mileage_unit","price","price_unit","production_date","description","drive_type","engine_type","fuel_type","transmission_type","user_id"
80abd0c4-a99b-4461-8ff4-e71f64735151,ACTIVE,9,742,134,RSQ8 MANHART,rsq8.jpg,2023-08-14 03:08:45.613802,,,4197,800,2006-12-24,83342,KM,821000,PLN,2022,description,RWD,RZĘDOWY,LPG,AUTOMAT,1
57efa14f-80c1-42f7-b694-c6319ae5e29d,ACTIVE,63,134,1088,MAZDA RX-8,rx8.jpg,2023-07-30 00:08:45.613802,,,4997,532,2019-07-09,7600,KM,154000,USD,2005,RX-8 WANKEL POZDRO,RWD,RZĘDOWY,LPG,MANUAL,2
9079429f-854c-4908-b833-915140612b79,ACTIVE,9,152,130,Audi RS6 500HP SUPERCHARGED,rs6.jpg,2023-08-18 09:08:45.613802,,,4497,500,2013-04-24,66666,KM,254500,PLN,2015,rs6 kozak mega,AWD,WIDLASTY,ON,AUTOMAT,1
7fc3b93e-3e8f-4a8e-83fd-31af9103a64f,ACTIVE,65,642,1134,MERCEDES GKLASA,gklasa.jpg,2023-07-30 00:08:45.613802,,,4997,532,2019-07-09,7600,MIL,154000,EUR,2007,gelenda,AWD,WANKEL,PB,AUTOMAT,2
d3dc16e5-f0a8-4fae-8d47-1cc5ddf51613,ACTIVE,41,175,737,ACCORD VII 2.4 TYPES NARDO GREY,ACCORD VII 2.4 TYPES NARDO GREY-accord-2.jpg,2024-02-03 10:33:18.826623,2024-02-03 10:35:07.538644,1,2396,230,2003-02-03,235160,KM,29999,PLN,2003,"<p><span style=""color: rgb(255, 255, 255);"">﻿</span></p>",FWD,RZĘDOWY,LPG,MANUAL,1
5c2558e6-8106-4fd4-818a-78dfb8997cb5,ACTIVE,65,312,1132,MERCEDES C63 AMG OKAZJA KOZAK IGLA,c63.jpg,2023-08-06 07:08:45.613802,,,3897,649,1996-11-04,32841,KM,232000,PLN,2012,1000hp,AWD,WIDLASTY,PHEV,AUTOMAT,2
323e2dca-f206-4893-bce6-478ffeff62a3,ACTIVE,9,1,127,Audi RS3 OKAZJA !,rs3.png,2023-08-17 10:08:45.613802,,,2497,350,2014-04-30,42069,KM,102500,PLN,2016,400hp itp,FWD,RZĘDOWY,PB,AUTOMAT,1
b592db24-5d34-497b-bd29-d2427965452e,ACTIVE,9,174,103,AUDI A3 3.2 QUATTRO DSG BOSE,AUDI A3 3.2 QUATTRO DSG BOSE-a3-7.jpg,2024-02-03 10:44:36.001024,2024-02-03 10:46:44.938346,1,3195,260,2006-05-04,197361,KM,42000,PLN,2006,"<h1>Audi A3 3.2 Quattro DSG VR6 - Ekskluzywna Oferta!</h1><p><br></p><p><span style=""color: var(--tw-prose-bold);"">Cena: 42000</span></p><p><br></p><p><br></p><h2>Opis pojazdu</h2><p><br></p><p>Ekskluzywne Audi A3 3.2 w wersji Quattro z automatyczną skrzynią biegów DSG i silnikiem VR6 to połączenie sportowego charakteru z wyrafinowanym stylem. Auto oferuje doskonałe osiągi i trakcję dzięki napędowi na wszystkie koła, a także niezrównaną przyjemność jazdy.</p><p><br></p><p><br></p><p><br></p><h2>Specyfikacja</h2><ul><li>Rok produkcji: 2006</li><li>Przebieg: 197 000 km</li><li>Kolor: Czarny metalik</li><li>Wnętrze: Pełna skóra, czarne</li><li>Skrzynia biegów: Automatyczna DSG</li><li>Silnik: 3.2 VR6</li></ul><p><br></p><p><br></p><p><br></p><h2>Wyposażenie</h2><p>To Audi A3 jest wyposażone w pełny pakiet opcji:</p><p><br></p><p><br></p><ul><li>Quattro - napęd na wszystkie koła</li><li>Sportowe zawieszenie</li><li>System audio z nawigacją MMI</li><li>Elektryczne fotele z pamięcią ustawień</li><li>Szyberdach</li><li>Pakiet S-line wewnętrzny i zewnętrzny</li><li><br></li></ul><h2>Kontakt</h2><p>Jeżeli jesteś zainteresowany, skontaktuj się z nami! Numer telefonu: <span style=""color: var(--tw-prose-bold);"">+48 123 456 789</span> lub odwiedź naszą stronę internetową: <a href=""http://www.twojeaudi.com/"" target=""_blank"" style=""color: var(--link);"">www.twojeaudi.com</a>.</p>",AWD,WIDLASTY,LPG,AUTOMAT,1
7f6f7d44-e586-4237-991d-a749125331f8,ACTIVE,41,1639,740,Honda CIVIC TYPER KOZAK,Honda CIVIC TYPER KOZAK-civic9.jpg,2024-02-03 11:04:45.321832,2024-02-03 11:05:25.467038,1,2353,354,2022-03-20,32641,KM,174200,PLN,2022,"<h1 class=""ql-align-center"">Honda Civic Type R 2022 - Najnowsza Ikona Mocy i Stylu!</h1><p><br></p><p><br></p><h2>Wstęp</h2><p><br></p><p>Przedstawiamy najnowszą <span style=""color: var(--tw-prose-bold);"">Hondę Civic Type R z roku 2022</span>, która jest kwintesencją sportowego ducha połączonego z codzienną funkcjonalnością. Ten samochód nie jest tylko środkiem transportu – to symfonia inżynierii, designu i pasji, która zapewnia emocje na każdym kilometrze.</p><p><br></p><p><br></p><h2>Marka:</h2><p><span style=""color: var(--tw-prose-bold);"">Honda</span> - uznawana na całym świecie za symbol niezawodności i innowacji.</p><p><br></p><p><br></p><h2>Model:</h2><p><span style=""color: var(--tw-prose-bold);"">Civic Type R</span> - topowy model Civic, który od lat kształtuje kategorię hot-hatch.</p><p><br></p><p><br></p><h2>Charakterystyka</h2><p>Najnowsza odsłona Type R przekracza granice możliwości. Została stworzona dla tych, którzy pragną nie tylko jazdy, ale przeżycia. Z turbodoładowanym silnikiem o mocy przekraczającej 300 KM, każde dotknięcie pedału gazu jest jak uderzenie adrenaliny.</p><p><br></p><p><br></p><h2>Wydajność</h2><p>Nowoczesna technologia i zaawansowane rozwiązania aerodynamiczne sprawiają, że Civic Type R jest szybki nie tylko na prostej, ale również zachowuje niezwykłą zwinność na zakrętach. Manualna skrzynia biegów pozwala na pełną kontrolę nad pojazdem i dostarcza niespotykaną przyjemność z jazdy.</p><p><br></p><p><br></p><h2>Design</h2><p>Aerodynamiczny kształt, agresywne linie i wyraźnie zaznaczone spoilery to nie tylko elementy estetyczne, ale przede wszystkim funkcjonalne, które redukują opór powietrza i zwiększają przyczepność. Sportowy charakter podkreślają 20-calowe felgi oraz wyjątkowy czerwony kolor, który jest znakiem rozpoznawczym Type R.</p><p><br></p><p><br></p><h2>Wnętrze</h2><p>Kabina pojazdu to połączenie sportowej ergonomii z komfortem. Wyścigowe fotele z doskonałym bocznym podparciem, wielofunkcyjna kierownica oraz aluminiowe detale sprawiają, że kierowca i pasażerowie mogą się poczuć jak na torze wyścigowym.</p><p><br></p><p><br></p><h2>Technologia</h2><p>Honda Civic Type R 2022 jest wyposażona w najnowsze systemy wspomagające kierowcę, w tym adaptacyjny tempomat, system utrzymania pasa ruchu i zaawansowany system multimedialny z ekranem dotykowym.</p><p><br></p><p><br></p><h2>Stan:</h2><p>Nowy, bez przebiegu, gwarancja producenta.</p><p><br></p><h2>Cena</h2><p>Do negocjacji. Możliwość finansowania i leasingu.</p><p><br></p><h2>Lokalizacja</h2><p>Pojazd dostępny w salonie autoryzowanym Hondy. Możliwość organizacji transportu do klienta.</p><p><br></p><p><span style=""color: var(--tw-prose-bold);"">Honda Civic Type R 2022 czeka na kierowcę, który jest gotowy doświadczyć jej pełnego potencjału. Jeśli jesteś zainteresowany, nie zwlekaj – skontaktuj się z nami już dziś!</span></p><p><span style=""color: var(--tw-prose-bold);"">Kontakt:</span></p><p><br></p><ul><li>Telefon: <span style=""color: var(--tw-prose-bold);"">+48 123 456 789</span></li><li>Email: <span style=""color: var(--link);"">sales@hondacivictr.pl</span></li><li>Adres: Autoryzowany Dealer Honda, ul. Motoryzacyjna 1, 00-001 Warszawa</li></ul><p>Zapraszamy do umówienia się na jazdę próbną i osobistego doświadczenia, co oznacza mieć pod kontrolą prawdziwy hot-hatch!</p>",FWD,RZĘDOWY,PB,AUTOMAT,1
ecd87db7-fc99-4080-807d-84e89a916994,ACTIVE,72,174,1249,NISSAN 350z REVUP 322 KM !!!,NISSAN 350z REVUP 322 KM !!!-350z-9.jpg,2024-02-03 10:57:41.562599,2024-02-03 10:57:55.608816,1,3496,322,2006-04-01,86363,KM,56340,PLN,2006,"<h1 class=""ql-align-center"">Wyjątkowy NISSAN 350z REVUP - 322 KM mocy czystej przyjemności z jazdy!</h1><p><br></p><p><br></p><h2>Przedmiotem sprzedaży jest:</h2><p>Legendarny <span style=""color: var(--tw-prose-bold);"">NISSAN 350 Z</span> - ikona japońskiej motoryzacji, znana z niezawodności i fenomenalnych osiągów. Ten unikalny model wyposażony jest w silnik <span style=""color: var(--tw-prose-bold);"">REVUP</span> o mocy 322 KM, co zapewnia prawdziwie sportowe emocje.</p><p><br></p><p><br></p><h2>Marka:</h2><p><span style=""color: var(--tw-prose-bold);"">NISSAN</span> - synonim innowacyjności i doskonałej techniki.</p><p><br></p><p><br></p><h2>Model:</h2><p><span style=""color: var(--tw-prose-bold);"">350 Z</span> - coupe, które łączy w sobie styl, moc i komfort.</p><p><br></p><p><br></p><h2>Rodzaj paliwa:</h2><p>PB - benzyna, która daje energię do dynamicznej jazdy.</p><p><br></p><p><br></p><h2>Rodzaj napędu:</h2><p>RWD - napęd na tylną oś gwarantujący sportowe wrażenia.</p><p><br></p><p><br></p><h2>Rodzaj silnika:</h2><p>WIDLASTY - VR6, znany z doskonałego brzmienia i niezawodności.</p><p><br></p><p><br></p><h2>Rodzaj skrzyni biegów:</h2><p>MANUAL - dla prawdziwych entuzjastów jazdy.</p><p><br></p><p><br></p><h2>Przebieg:</h2><p>86 363 KM - potwierdzony, gotowy na kolejne bezproblemowe kilometry.</p><p><br></p><p><br></p><h2>Cena:</h2><p>56 340 PLN - inwestycja w czystą przyjemność.</p><p><br></p><p><br></p><h2>Pojemność silnika (w cm³):</h2><p>3496 - idealny balans pomiędzy mocą a ekonomią.</p><p><br></p><p><br></p><h2>Moc silnika (KM):</h2><p>322 - pozwoli Ci wyprzedzać rzeczywistość.</p><p><br></p><p><br></p><h2>Data produkcji:</h2><p>2006 - rok, w którym to coupe zdefiniowało nowe standardy.</p><p><br></p><p><br></p><h2>Data pierwszej rejestracji:</h2><p>01.04.2006 - od tego dnia zaczął tworzyć swoją legendę na drogach.</p><p><br></p><p><br></p><h2>Lokalizacja:</h2><p>Toruń, KUJAWSKO-POMORSKIE - tutaj możesz się zakochać w jego jeździe.</p><p><span style=""color: var(--tw-prose-bold);"">Oferowany NISSAN 350z to nie tylko samochód, to maszyna, która dostarcza niezapomnianych wrażeń. Każdy detal tego auta został zaprojektowany z myślą o kierowcy. Od sportowego zawieszenia, przez przyciągające wzrok linie nadwozia, po bogate wyposażenie wnętrza.</span></p><p>Maszyna ta czeka na kierowcę, który doceni jej charakter i będzie gotowy na podbój każdej zakręconej drogi. Czy jesteś gotów na tę przygodę?</p><p>Jeśli potrzebujesz bardziej szczegółowych informacji lub chcesz umówić się na jazdę próbną, skontaktuj się bezpośrednio pod numerem: <span style=""color: var(--tw-prose-bold);"">+48 123 456 789</span>. Zapraszam do Torunia, by przekonać się na własne oczy, co ten NISSAN 350z ma do zaoferowania!</p>",RWD,WIDLASTY,PB,MANUAL,1
